Songid,Genre,Song,Artist,SPB,SPN,SPH,SPA,DPN,DPH,DPA,Style,In26
575,TRANSCENDENTAL ETUDES,DIAVOLO,度胸兄弟,-,6,9,12,7,10,12,19,1
576,AKIBA RAVE,Drive Me Crazy,kors k feat. 古川未鈴,-,4,7,10,4,7,10,19,1
577,J-CORE,Express Emotion,REDALiCE feat. Shihori,-,4,6,10,4,6,9,19,1
578,RENAISSANCE,F,D.J.Amuro,-,5,10,12,5,10,12,19,1
579,HARD Pf,ƒƒƒƒƒ,Five Hammer,-,4,10,12,5,10,12,19,1
580,CANDY HANDZ UP,Flip Flap,kors k,-,3,7,10,3,7,10,19,1
581,J-DANCE POP,Follow Tomorrow,HHH×MM×ST,-,4,8,10,4,8,10,19,1
582,ECCENTRIC,HAERETICUS,D.J.Amuro Vs MAX MAXIMIZER,-,5,10,12,5,10,12,19,1
583,PROGRESSIVE ROCK,In the Blackest Den,Bulluvegola,-,5,8,11,5,8,11,19,1
584,DRUM'N'BASS,Infinite cave,猫叉Master+,-,6,9,10,8,10,12,19,1
585,LOUD TECH,LAX5 feat.Ryota Yoshinari,Katana Sounds,-,6,9,10,6,9,10,19,1
586,PLATINUM J-POP ONE,LETHEBOLG ～双神威に斬り咲けり～,TЁЯRA,-,5,8,10,5,8,10,19,1
587,ELECTRO,Liquid Crystal Girl feat.echo,kmp,-,2,6,9,2,6,9,19,1
588,DRUM'N'BASS,LOVE B.B.B,SWAN K feat. Asuka.M,-,4,8,10,4,8,10,19,1
589,DREAM TRANCE,Lucky Days,Sota Fujimori feat. Kanako Hoshino,-,4,8,10,4,8,10,19,1
590,EUROBEAT,Mermaid girl-秋葉工房 MIX-,Remixed by DJ Command,-,4,6,9,4,7,9,19,1
591,80's ELECTRO HOUSE,Miami Sunset Drive,Dirty Androids,-,4,6,9,4,7,10,19,1
592,ELECTRO GOTHIC,NNRT,Levaslater,-,6,10,12,6,10,12,19,1
593,HARD NRG,Phoenix,Hommarju,-,5,7,10,5,8,11,19,1
594,NU PROGRESSIVE,prompt,w×s ft.*spiLa*,-,5,8,11,5,8,11,19,1
595,TECHNO,QUANTUM TELEPORTATION,L.E.D.,-,7,10,11,7,10,12,19,1
596,HAPPY,quaver♪,Risk Junk,-,4,9,12,4,9,12,19,1
597,RAVE FUSION,Quick Silver,Mystic Moon,-,5,9,11,5,9,11,19,1
598,TECH DANCE,Release The Music,kors k,-,4,7,10,4,7,10,19,1
599,MYSTERIOUS ROCK,RESISTANCE,セリカ,-,3,7,10,3,7,10,19,1
600,HYPER ELECTRO,Round and Round,Masayoshi Minoshima feat. 綾倉盟,-,3,6,9,3,6,10,19,1
601,ONLY ONE FINALE,SA.YO.NA.RA. SUPER STAR,SUPER STAR 満 -MITSURU-,-,4,8,10,5,9,11,19,1
602,HARD ROCK,Scharfrichter,Ashemu,-,5,9,11,6,9,11,19,1
603,VALIANT BEAT,Several Words,CAPACITY GATE,-,4,8,10,4,8,10,19,1
604,TECHNO,SHADE,DJ MURASAME vs. dj Killer,-,5,9,11,5,10,11,19,1
605,TECH-BREAKBEATS,Snake Stick,DJ Yoshitaka VS. DJ Mass MAD Izm*,-,6,10,12,6,10,12,19,1
606,TRANCE,Star Trail,Nhato,-,3,7,10,4,7,10,19,1
607,CYBER PUNK,The Limbo,STN,-,6,10,12,6,10,12,19,1
608,HARD TRANCE,The Sampling Paradise,Mamonis,-,5,9,12,5,10,12,19,1
609,RAVERS DANCE SPEED,Thunderbolt,雷龍,-,5,9,12,5,9,11,19,1
610,DRUMSTEP,TITANS RETURN,L.E.D.,-,4,8,11,4,8,11,19,1
611,SACRED TRANCE,Todestrieb,Rche,-,5,9,12,5,9,12,19,1
612,TECH DANCE,Voxane,Remo-con,-,3,7,9,3,7,9,19,1
613,HARD TRANCE,WONDER WALKER,L.E.D.,-,5,9,12,5,9,12,19,1
614,TERROR CORE,YAKSHA,Neulakyussra,-,6,10,12,6,11,12,19,1
615,TEK-TRANCE,yellow head joe,S-C-U,-,4,8,10,4,9,12,19,1
616,DRUM'N'BASS,Yellow Sunrise,xac,-,4,7,10,4,8,11,19,1
617,HAPPY HARDCORE,ビューティフル レシート,Lucky Vacuum,-,3,8,10,4,9,11,19,1
618,SYMPHONIC-TEK,ユミル,MYTHOLOGIA by MLREC.,-,3,7,11,5,8,11,19,1
619,トレンディーフュージョン,君のハートにロックオン,Dr.Honda,-,4,9,11,4,8,12,19,1
620,ANTHEM,天空の夜明け,Cuvelia,-,7,10,12,7,11,12,19,1
621,PROGRESSIVE,子供の落書き帳,佐々木博史,-,6,10,12,7,10,12,19,1
622,Hi-BLEEP,恋する☆宇宙戦争っ!!,Prim,-,5,8,12,4,8,12,19,1
623,電波,突撃！ガラスのニーソ姫！,山本椛 (monotone),-,4,7,10,4,8,10,19,1
624,BATTLE TRACK,聖人の塔,Beridzebeth,-,6,10,12,6,10,12,19,1
625,ORIENTAL MYTHOLOGY,蛇神,Zektbach,-,4,8,11,4,8,11,19,1
626,NEO CLASSICAL DANCE,衰色小町メランコリア,iNO,-,4,7,10,4,7,10,19,1
627,POP,陽炎,星野奏子,-,3,6,9,3,6,10,19,1
628,LOUNGE POP,connective,猫叉Master feat. *spiLa*,1,2,6,8,2,6,8,20,1
629,ELECTRO POP,Shining World,DJ Genki feat. Yukacco,1,6,8,9,4,7,9,20,1
630,TRANCE CORE,FLOWER,DJ YOSHITAKA,2,6,9,11,6,9,12,20,1
631,Hi-CORE,†渚の小悪魔ラヴリィ～レイディオ† (IIDX EDIT),夏色ビキニのPrim,-,3,9,12,3,9,12,20,1
632,HARDCORE,405nm (Ryu☆mix),Another Infinity,-,5,9,11,5,9,11,20,1
633,CHIPTUNE,8bit Princess,seiya-murai feat. ALT,-,3,6,10,3,6,10,20,1
634,ELECTRO POP,Ascalon,Qrispy Joybox,-,5,8,10,6,9,11,20,1
635,SPEEDCORE,Beastie Starter,GUHROOVY,-,3,7,11,3,7,11,20,1
636,HARD DANCE,BLUE STRAGGLER,L.E.D.,-,4,7,10,4,8,10,20,1
637,SPACY TRANCE,BRAVE GLOW,SOUND HOLIC feat. Nana Takahashi,-,4,8,10,4,8,10,20,1
638,HARD REVOLUTION,CONCEPTUAL,Sota Fujimori 2nd Season,-,5,7,11,5,8,11,20,1
639,HARD ELECTRIC POP,Confiserie,L.E.D. vs S-C-U,-,5,10,12,5,10,12,20,1
640,BREAK CORE,Cookie Bouquets,L.E.D. vs TOMOSUKE fw.crimm,-,5,9,11,7,10,11,20,1
641,DARK PROGRESSIVE,DAY DREAM,Mutsuhiko Izumi,-,5,10,12,6,10,12,20,1
642,SYMPHONIC BREAK BEATS,Devilz Staircase,OSTER project,-,3,10,12,4,10,12,20,1
643,HARD RENAISSANCE,Elemental Creation,dj TAKA meets DJ YOSHITAKA,-,7,10,12,8,10,12,20,1
644,VACATION DANCE,examination leave,dj razzle dazzle,-,6,9,11,6,10,11,20,1
645,HANDZ UP,Fly you to the star,Another Infinity feat. Mayumi Morinaga,-,4,8,10,4,8,11,20,1
646,SPEED DANCE,GAIA,猫叉L.E.D.Master+,-,5,10,12,5,10,12,20,1
647,KONAMI REMIX,GRADIUS 2012,Sota Fujimori,-,5,8,10,5,8,10,20,1
648,DRUM'N'BASS,Hollywood Galaxy,dj TAKA,-,5,10,12,6,9,12,20,1
649,NU RAVE,Howling,PON,-,4,7,9,4,7,10,20,1
650,NEW 80'S,I know You know,Suke+Suke feat.Ribbon,-,3,6,9,3,6,9,20,1
651,HYPER ELECTRO,ILIAS,Masayoshi Minoshima feat.坂上なち,-,4,7,10,4,8,10,20,1
652,ORBITALIC CORE,Illegal Function Call,U1-ASAMi,-,5,9,11,5,9,11,20,1
653,HEAVENLY TRANCE,In Heaven,Sota Fujimori,-,4,7,9,5,7,9,20,1
654,HARD RENAISSANCE,JOMANDA,DJ YOSHITAKA,-,6,10,12,6,10,12,20,1
655,TRANCE,Liberation,dj TAKA,-,6,9,12,6,10,12,20,1
656,HAPPY HARDCORE,Light and Cyber･･･,Tatsh,-,5,9,11,5,9,11,20,1
657,J-CORE,Little Star,REDALiCE feat.Ayumi Nomiya,-,5,8,12,5,8,12,20,1
658,NEO 80's EURO ELECTRO,LUV CAN SAVE U,HIDEKI NAGANUMA,-,3,7,9,3,6,10,20,1
659,JAZZ HOUSE,mnemoniq,youhei shimizu,-,4,5,8,5,8,9,20,1
660,TECH DANCE,Neonlights,DJ Noriken,-,4,8,10,4,10,11,20,1
661,NIENTE,neu,少年ラジオ,-,6,10,12,6,10,12,20,1
662,SPEED DANCE CORE,New Decade IIDX Edition,Sota F.,-,5,9,11,5,9,11,20,1
663,HARDCORE,New Lights,kors k,-,6,9,10,6,9,10,20,1
664,HAPPY GABBA,Plan 8,Ryu☆,-,6,10,12,6,10,12,20,1
665,ELECTRIC POP,planarian,S-C-U,-,4,8,10,4,8,11,20,1
666,DRUM'N'BASS,POINT ZERO,猫叉Master+,-,4,7,10,4,7,10,20,1
667,CLASSICAL PIANO,Präludium,Yuko Takahashi,-,4,8,10,4,8,11,20,1
668,HARD ELECTRONICA,Proof of the existence,猫叉Master+,-,6,10,12,6,10,12,20,1
669,DRUM'N'BASS,Rainbow after snow,猫叉Master feat.林ももこ,-,3,7,10,5,8,10,20,1
670,EMOTIONAL SENTENCE,Re:GENERATION,TAG feat.ERi,-,5,8,10,5,8,11,20,1
671,LOUNGECORE,rumrum triplets,yu_tokiwa.djw,-,5,10,11,5,10,12,20,1
672,DRUMSTEP,S!ck,Eagle,-,5,8,11,5,9,11,20,1
673,PROGRESSIVE TRIBAL,Saturn,Mr.Saturn,-,7,10,11,6,10,11,20,1
674,HI-SPEED FANTASY TUNE,SHION,DJ YOSHITAKA,-,4,7,10,4,7,11,20,1
675,FREEFORM HARDCORE,Sol Cosine Job 2,DJ TECHNORCH,-,6,9,12,6,11,12,20,1
676,GRAVIOL,STULTI,MAX MAXIMIZER VS DJ TOTTO,-,5,10,12,5,10,12,20,1
677,LATIN EURO,SYNC-ANTHEM,Tatsh feat. 星野奏子,-,5,10,12,6,10,12,20,1
678,ORBITALIC REVOLUTION,Synergy For Angels,TAG×U1-ASAMi,-,4,8,11,4,8,11,20,1
679,EUROBEAT,Take My Life,Y&Co.,-,5,8,11,5,9,11,20,1
680,TRANSCENDENTAL ETUDES,Thor's Hammer,ユニバーサル度胸兄弟,-,5,10,12,5,10,12,20,1
681,TRANCE,Time to Empress,dj TAKA feat. wac & secret K,-,4,9,10,7,9,11,20,1
682,PROGRESSIVE ROCK,Timepiece phase II,佐々木博史,-,5,10,12,6,11,12,20,1
683,PROGRESSIVE ROCK,Timepiece phase II (CN Ver.),佐々木博史,-,6,10,12,6,11,12,20,1
684,STARPOP,To my star,星野奏子,-,3,6,9,3,7,9,20,1
685,ESSENTIALLY,True Blue,dj TAKA feat. AiMEE,-,5,10,12,5,10,12,20,1
686,ART CORE,Valanga,DJ TOTTO,-,7,10,12,6,10,12,20,1
687,TRANCE CORE,VALLIS-NERIA,DJ YOSHITAKA,-,6,10,11,7,10,11,20,1
688,UNIVERSAL J-CORE,VEGA,REDALiCE,-,5,9,11,5,9,11,20,1
689,DESERT ALTERNATIVE EDGE,YELLOW FROG from Steel Chronicle,劇団レコード,-,3,7,9,4,6,10,20,1
690,DUB STEP,ZED,USAO,-,5,8,11,5,8,11,20,1
691,SPACE REQUIEM,Zirkfied,iconoclasm,-,5,10,12,5,10,12,20,1
692,ROMANTIC SCHOOL VARIATIONS,ΕΛΠΙΣ,dj TAKA,-,6,10,12,6,10,12,20,1
693,ZODIAC ORACLE 7,アストライアの双皿,ZODIACSYNDICATE,-,4,9,12,5,9,12,20,1
694,RICE METAL,お米の美味しい炊き方、そしてお米を食べることによるその効果。,大日本鉄倶楽部 【あさき&96】,-,5,8,10,5,9,10,20,1
695,電波,カジノファイヤーことみちゃん,ARM feat. 山本椛 + Brasscapsule,-,4,8,11,4,8,12,20,1
696,Hi-ν BLEEP,キャトられ♥恋はモ～モク,ギュ～っとしたい♥Prim,-,6,10,12,6,10,12,20,1
697,TOY CONTEMPORARY,シュレーディンガーの猫,Cait Sith,-,6,10,12,7,10,12,20,1
698,PROGRESSIVE,たまゆら,佐々木博史,-,7,10,12,6,10,12,20,1
699,歌謡 DRUM & BASS,トリカゴノ鳳凰,L.E.D. Vs. 幽閉サテライト,-,6,9,12,6,9,12,20,1
700,CYBER SYMPHONIC POP,メイメツ、フラグメンツ,中山真斗(Elements Garden) feat.桜川めぐ,-,4,8,10,4,7,11,20,1
701,LUCKY TECHNO,ラキラキ,Mutsuhiko Izumi & S-C-U,-,4,8,10,4,8,10,20,1
702,NEO CLASSICAL DANCE,下弦の月,iNO,-,5,7,9,5,7,9,20,1
703,TECHNO,仮想空間の旅人たち,DJ MURASAME,-,5,9,11,5,8,11,20,1
704,CREATOR,創世ノート,PON+wac,-,4,9,11,4,9,11,20,1
705,AKIBA-POP,即席! 脳直★ミュージックシステム,MOSAIC.WAV,-,6,10,12,6,9,12,20,1
706,FASCINATION,朧,HHH×MM×ST,-,4,7,10,4,7,10,20,1
707,想歌 梅,梅雪夜,Qrispy Joybox feat. mao,-,5,7,10,5,8,10,20,1
708,Hi-GOTH,狂イ咲ケ焔ノ華,覚醒ノPrim,-,6,10,12,6,10,12,20,1
709,SILENT,音楽,弁士カンタビレオ,-,5,10,12,5,10,12,20,1
710,EPIC TECHNO,龍と少女とデコヒーレンス,黒猫ダンジョン,-,5,8,11,5,9,11,20,1
711,ARTCORE,Adularia,DJ TOTTO,1,6,10,12,6,10,12,21,1
712,NEUTRONIKA,Atröpøs,sasakure.UK,1,6,8,11,5,9,11,21,1
713,DANCE SPEED,Critical Crystal,青龍,1,6,9,11,6,9,11,21,1
714,DARK ELEMENT,DARK LEGACY,BaSTeT,1,6,9,12,6,9,12,21,1
715,HARDCORE RAVE,Overload Frontier,DJ Shimamura,1,5,8,11,6,9,11,21,1
716,ASTRAL HARDCORE,ÆTHER,TAG underground,-,5,8,11,5,8,11,21,1
717,HYPER GOTHIC BEAT,ALBA -黎明-,SOUND HOLIC feat. Nana Takahashi,-,5,8,11,4,8,11,21,1
718,DYNASTIC FREEFORM,Ancient Scapes,Durandal,-,6,10,12,6,9,12,21,1
719,RAVERS DANCE SPEED,BLUE DRAGON(雷龍Remix IIDX),青龍,-,7,10,12,7,10,11,21,1
720,TRANCECORE MEETS GABBA,BRAINSTORM,Hardcore United Tokyo(teranoid & DJ TECHNORCH),-,4,10,11,6,10,12,21,1
721,ELECTRANCE,BRAVE OUT,nomico / DOWNFORCE,-,5,8,10,5,9,11,21,1
722,ILUZIO,Claiomh Solais,DJ YOSHITAKA VS S.S.D.,-,2,6,9,2,8,10,21,1
723,PHARAO BEAM STEP,Cleopatrysm,ピラミッ℃,-,4,8,11,4,9,11,21,1
724,J-CORE,Close the World feat.a☆ru,天叢雲剣,-,5,10,12,5,9,12,21,1
725,MASSIVE DANCE SPEED,Dark Fall,黒龍,-,5,8,11,5,9,11,21,1
726,SYMPHONIC BREAK BEATS,Devilz Sacrifice -贖罪の羊-,OSTER project,-,4,9,11,6,9,11,21,1
727,GLITCH HOP,diagram,Expander,-,3,7,11,4,7,11,21,1
728,UK HARDCORE,Elektrick U-Phoria,DJ Noriken,-,6,9,11,5,8,12,21,1
729,HEALING POP,Element of SPADA,猫叉Master feat.霜月はるか,-,3,7,9,3,5,9,21,1
730,HAPPY SAD CORE,Engraved Mark,Ryu☆ ∞ Des-ROW,-,4,8,11,4,8,11,21,1
731,TECHNO,EXTREME MACH COLLIDER,L.E.D.,-,5,8,11,5,9,10,21,1
732,HARDCORE RAVE,Feel The Beat,Falsion,-,7,10,12,6,9,11,21,1
733,JAG GLITCH,Funny shuffle,猫叉Master+,-,3,6,11,4,7,11,21,1
734,BIG BEAT,HYENA,Hommarju,-,6,9,11,5,8,11,21,1
735,DRUM&BASS,Hypersonik,Eagle,-,5,8,10,5,8,11,21,1
736,ONLY ONE MOMENT,I will be back -オレは帰ってきた-,SUPER STAR 満-MITSURU-,-,6,9,11,6,10,12,21,1
737,REPLICANT CORE,Idola,iconoclasm feat.GUMI,-,6,10,12,6,10,12,21,1
738,J-CORE,Immortal,DJ NAGAI,-,5,9,12,6,10,12,21,1
739,Hi-TECH FULL ON,Insane Techniques,kors k,-,4,7,10,4,8,10,21,1
740,FUNKOT,INSOMNIA,ジャカルタファンクブラザーズ,-,4,8,12,4,8,12,21,1
741,SYMPHONIC BREAKS,into the battlefield,the wandering bard,-,4,8,10,5,7,10,21,1
742,TRIBE CORE,invoker,Caladborg,-,5,9,12,6,10,12,21,1
743,BLOOD METAL,IX,dj TAKA VS DJ TOTTO feat.藍,-,6,11,12,6,11,12,21,1
744,HEAVY METAL,KAISER PHOENIX,96,-,7,10,12,6,10,11,21,1
745,PROGRESSIVE GOSPEL,KHAMEN BREAK,くふおー,-,3,7,11,3,8,11,21,1
746,DRUM'N'BASS,LA FESTA LA VITA!!,GUHROOVY,-,5,9,11,5,9,11,21,1
747,HARD STACC,Last Dance,dj TAKA,-,6,10,12,6,10,12,21,1
748,TRANCE POP,Lighting Shower,TAG,-,4,7,11,4,7,11,21,1
749,PIECED DOWNBEAT,M.D.Injection,Project B-,-,3,6,10,5,8,11,21,1
750,TOKYO STYLE SPEEDCORE,m1dy Deluxe,m1dy,-,6,9,11,6,9,11,21,1
751,UPBEAT,MAD ATTACK,HALFBY,-,3,6,9,3,6,10,21,1
752,HAPPY CORE,MAGIC & LOVE,DJ Genki feat. Yukacco,-,5,9,11,4,8,11,21,1
753,FRENCHCORE,Miracle 5ympho X,USAO,-,5,8,10,6,9,11,21,1
754,ELECTRO POP,NPC World,PON,-,5,8,10,5,9,10,21,1
755,GABBER,Odin,Noizenecio,-,4,7,10,5,7,10,21,1
756,ANCIENT CIVILIZATION,Pharaoh,劇団レコード,-,3,8,11,3,8,9,21,1
757,VARIANT RAVE,PUNISHER,TAG×PON,-,5,9,12,5,9,12,21,1
758,RAVERS DANCE SPEED,ra'am,雷龍,-,7,10,12,7,10,12,21,1
759,BRIGHTNESS,rainbow guitar weeps,dj TAKA,-,5,9,11,6,9,12,21,1
760,POPS,Recollection,Noria,-,5,7,9,6,7,8,21,1
761,PSYCHEDELIC TRANCE,refractive index,Sota Fujimori,-,3,7,11,4,7,10,21,1
762,DRUMSTEP,RISE,Dirty Androids,-,5,8,10,5,8,10,21,1
763,HAPPY HARDCORE,RIZING YOU UP,Ryu☆,-,6,9,10,8,10,12,21,1
764,FULL ON,SCHWARZSCHILD FIELD,L.E.D.,-,6,9,11,7,9,11,21,1
765,REQUIEM PSY,Sigmund,Gram,-,7,10,12,7,10,12,21,1
766,WITHOUT YOU TONIGHT -VI-,Squeeze,VENUS feat. Mutsuhiko Izumi,-,5,8,11,5,8,11,21,1
767,NU STYLE GABBA,THE DETONATOR,teranoid vs. L.E.D.-G,-,7,10,11,8,9,10,21,1
768,BREAKBEATS TRANCE,Unicorn tail,DJ YOSHITAKA,-,5,9,11,4,9,12,21,1
769,MAINSTREAM HARDCORE,Valgus,DJ Myosuke feat.Yukacco,-,4,7,11,4,7,10,21,1
770,HARD NRG,Verflucht,Tyrfing,-,6,10,12,7,10,12,21,1
771,ROTTERDAM TECHNO,VOX UP,sampling masters MEGA vs. 青龍,-,8,11,12,7,11,12,21,1
772,EUROBEAT,Wonder Girl feat. Kanae Asaba,Y&Co.,-,4,6,11,5,7,10,21,1
773,BLOOM FUSION,アルストロメリア,TAG,-,5,8,10,5,8,10,21,1
774,CYBER SYMPHONIC POP,お願いアインシュタイン,中山真斗 feat. 桜川めぐ,-,5,8,10,5,8,10,21,1
775,ELECTRIC MANOUSH SWING,デッドボヲルdeホームラン,猫叉Masterβ2,-,3,9,11,4,9,11,21,1
776,J-SPEEDMETAL,バンブーソード・ガール,cosMo＠暴走P,-,5,9,11,5,10,12,21,1
777,J-POP,幻想系世界修復少女,Last Note.,-,4,7,10,4,7,11,21,1
778,新世紀進歩的羽扇子音楽,廿,DJ TECHNORCH,-,5,8,10,5,8,10,21,1
779,JUVENILE DRUM & BASS,旋律のドグマ～Misérables～,楓璃夢=ジークフリード=ファイエルローゼン,-,6,10,12,6,10,12,21,1
780,HYDRO CORE,海神,兎々,-,7,10,12,7,10,12,21,1
781,HARD SYMPHONIC,煉獄のエルフェリア,猫叉Master+,-,7,10,12,7,10,12,21,1
782,ZODIAC ORACLE X,牧神笛吹きて,楽士ゾディアック,-,4,8,11,4,8,11,21,1
783,ORIENTAL CORE,疾風迅雷,KUMOKIRI,-,6,10,12,6,10,12,21,1
784,HYPER J-POP,罪と罰,Xceon feat. Mayumi Morinaga,-,5,7,10,6,8,10,21,1
785,乙女EDM,超!!遠距離らぶ♡メ～ル,ななひら,-,3,7,10,4,7,11,21,1
786,ベースボールヒロイン,轟け！恋のビーンボール！！,ダイナミック野球兄弟 v.s. クロスファイヤーPrim,-,6,10,12,6,10,12,21,1
787,DUBCORE,#The_Relentless,DJ Noriken,-,6,9,11,5,9,11,22,1
788,AFRO-SAMBA,AFRO KNUCKLE,猫叉Master+,-,5,8,11,5,9,11,22,1
789,ART CORE,Amnolys,onoken,-,5,9,11,6,9,11,22,1
790,NEO CLASSICAL DANCE,Beat Radiance,iNO,-,5,8,10,5,8,10,22,1
791,WORLD/ELECTRONICA,Beyond The Earth,猫叉Master,-,5,10,11,6,9,10,22,1
792,HARDCORE RAVE,Blaze it UP!,DJ Shimamura,-,5,8,11,5,8,11,22,1
793,NU STYLE GABBA,BLUE MIRAGE,DJ CHUCKY,-,5,10,12,5,9,11,22,1
794,DUAL ANTIQUE,Broken Sword,金獅子 VS 麒麟,-,7,10,12,6,9,12,22,1
795,FULL ON,Chain of pain,kors k VS 猫叉Master+,-,4,8,10,7,9,11,22,1
796,HEALING DRUM'N'BASS,chrono diver -fragment-,猫叉Master feat.三澤秋,-,3,6,9,3,6,9,22,1
797,CYBER DRUM & BASS,CHRONO DIVER -NORNIR-,L.E.D.,-,5,9,11,5,9,11,22,1
798,CHRONO BREAKS,Chrono Diver -PENDULUMs-,猫叉L.E.D.Master+,-,7,11,12,7,11,12,22,1
799,PROGRESSIVE,Chronos,TAG,-,5,8,11,5,9,11,22,1
800,MAELSTROM,cinder,PHQUASE,-,5,9,12,5,9,12,22,1
801,LOST GROUND,COLOSSEUM,劇団レコード,-,4,7,11,4,8,10,22,1
802,FUTURE BASS,Cosmic Cat,8bit Moonside,-,6,9,11,6,8,11,22,1
803,HARD IRISH SYMPHONIC,Despair of ELFERIA,猫叉Master,-,7,10,12,7,10,12,22,1
804,Hi-TECH PSYTRANCE,Discloze,lapix,-,6,9,11,6,9,11,22,1
805,RAGTIME CHIPTUNE,EBONY & IVORY,OSTER project,-,6,9,12,6,9,12,22,1
806,SACRED TRANCE,entelecheia,Rche,-,6,10,12,7,10,12,22,1
807,FALLIN APART CORE,Erosion Mark,kors k REASM Des-ROW,-,4,8,11,4,8,11,22,1
808,WORLD/ELECTRONICA,fallen leaves -IIDX edition-,猫叉Master,-,6,10,12,6,9,12,22,1
809,DUB COMEDY,FANTASTIC THREE,ジャカルタファンクブラザーズ,-,7,10,12,7,10,12,22,1
810,DRUM'N'BASS,Flashes,Dollscythe,-,6,9,12,6,9,12,22,1
811,PROGRESSIVE SCHRANZ,Gravigazer,DJ TOTTO,-,5,10,12,5,9,12,22,1
812,TECHNO,GUILTY,D.J.SETUP,-,5,8,10,5,9,11,22,1
813,GABBAH,HELL SCAPER -Last Escape Remix-,Remixed by DJ TECHNORCH fw. GUHROOVY,-,5,8,11,6,9,11,22,1
814,HAPPY HARDCORE,Hello Happiness,P*Light feat. mow*2,-,5,9,11,5,8,11,22,1
815,SYNTHETIC EDM,illuminate,Sota Fujimori,-,3,8,10,3,8,11,22,1
816,GOA TRANCE,IMPLANTATION,TOMOSUKE,-,5,10,12,5,9,11,22,1
817,HYBRID,In The Breeze,96 & Sota ft. Mayumi Morinaga,-,4,7,9,5,8,10,22,1
818,HOLIC,Invitation from Mr.C,C-Show,-,6,9,12,7,9,12,22,1
819,PSYCHEDELIC TRANCE,IXION,L.E.D.,-,5,8,9,5,8,11,22,1
820,ELECTRO TECH,Line 4 Ruin,Ryu☆,-,4,9,11,6,9,11,22,1
821,TOKYO STYLE SPEEDCORE,m1dy Festival,m1dy,-,5,8,11,5,8,10,22,1
822,ARTCORE ROCK,Monopole.,cosMo@暴走P,-,4,8,12,5,8,11,22,1
823,MAINSTREAM HARDCORE,NEO GENERATOR SEVEN,L.E.D.-G,-,5,10,12,6,10,11,22,1
824,PUMPCORE,Night sky,USAO,-,6,9,11,6,9,12,22,1
825,HARD EDM,No Tears,RoughSketch feat.Aikapin,-,6,9,11,6,9,10,22,1
826,HARDSTYLE,On My Wings (Hardstyle IIDX),kors k,-,5,7,10,5,7,10,22,1
827,SYSTEM BGM,PENDUAL TALISMAN,猫叉L.E.D.Master,-,5,8,11,4,8,11,22,1
828,HARD DANCE,Rave Saves You feat. Cardz (Exclusive IIDX Mix),Remo-con,-,4,8,10,4,8,10,22,1
829,EDM SPEED,Rave*it!! Rave*it!!,機龍,-,6,9,12,6,9,12,22,1
830,SOLITUDE,Realize Maze,movies (moimoi×Xceon×Dai.),-,6,9,11,6,9,11,22,1
831,TRANCESTEP,Reflux,Eagle,-,6,9,12,6,9,12,22,1
832,CHIPCORE,Sakura Mirage,Ryu☆,-,6,8,11,6,8,10,22,1
833,DIMENSION WAVE,SAMSARA,SOUND HOLIC feat. Nana Takahashi,-,4,7,10,4,7,10,22,1
834,EDM,Say YEEEAHH,kors k,-,6,9,12,6,10,12,22,1
835,J-CORE,Scarlet Moon,REDALiCE feat. Ayumi Nomiya,-,6,9,11,6,9,11,22,1
836,WORLD/ELECTRONICA,Scars of FAUNA,猫叉Master,-,5,8,11,5,8,11,22,1
837,MUSIC GAME TRADITIONAL,Shooting Fireball,dj TAKA,-,6,10,12,6,10,12,22,1
838,UK HARDCORE,Sounds Of Summer,Hommarju,-,6,10,12,6,9,12,22,1
839,RAGTIME FUTURE POP,SpaceLand☆TOYBOX,OSTER project,-,6,9,12,6,9,12,22,1
840,ELECTRO POP,Sweet Radar,DJ Genki feat. Yukacco,-,4,7,10,4,6,10,22,1
841,EPIC ELECTRONICA,Symmetry,猫叉Master,-,6,10,12,6,9,11,22,1
842,EUROBEAT,TA・DA ☆ YO・SHI,Y&Co.,-,5,8,10,5,8,10,22,1
843,PROGRESSIVE,The Least 100sec,Sasaki Hirofumi,-,5,9,12,6,9,12,22,1
844,DEEP SPECTRUM,TIEFSEE,SOUND HOLIC Vs. dj TAKA feat. YURiCa,-,6,9,12,6,9,12,22,1
845,MELODIC SPEED METAL,TOXIC VIBRATION,SOUND HOLIC Vs. T.Kakuta feat. YURiCa,-,7,10,12,7,10,12,22,1
846,GYPSYCORE,Vulkan,Hommarju,-,5,9,11,5,9,11,22,1
847,HAPPY HARDCORE,We're so Happy (P*Light Remix) IIDX ver.,Remixed by P*Light,-,6,10,12,6,10,12,22,1
848,新世紀進歩的羽扇子音楽,Ｘ↑Ｘ↓,DJ TECHNORCH,-,5,8,11,5,9,12,22,1
849,INTELLIGENCE,ZZ,D.J.Amuro,-,6,10,12,6,10,12,22,1
850,Hi-歌謡コア,それは花火のような恋,夏色バーニングラブ☆Prim,-,6,10,12,7,10,12,22,1
851,ドタバタ☆夏休み,ドッキン☆サマーあばんちゅーる,L.E.D.-G + Qrispy Joybox + ARM feat. ななひら,-,5,8,11,6,9,11,22,1
852,TROPICAL,とろぴかる倶楽部,HALFBY,-,5,8,11,6,9,11,22,1
853,電波ソング,パ→ピ→プ→Yeah!,ヒゲドライバー join. shully & Nimo,-,6,9,11,6,9,11,22,1
